author,text,published_at,like_count
user_116,"Kamu banyak ngomong Roy Suryo kamu ngotot lulusan UGM ,la kamu ada gelar apa lulusan UGM?? prnh masuk penjara to kamu ,la Jokowi perlu dibangakan UGM prnh jadi apa beliau ,mantan Bu Pati mantan gubernur mantan presiden 2 x ,😂😂😂😂kamu gak tau malu Roy Suryo",2025-05-26T05:19:42Z,0
user_117,Sampai saat ini niii....saya sebagai publik umum....belum percaya penuh .... sebelum di tunjukkan langsung dari tangan Jokowi sendiri  ijasah asli nya kepada publik dan wartawan semua media di dunia 👍👍👍👍👍😎😎,2025-05-26T04:43:49Z,0
user_118,Udah lah RS loe capek2 ngomong sm orang kaya Sil....r buang2 waktu sm energi 😅,2025-05-26T03:11:47Z,0
user_119,"Jgn slalu bawa² masyarakat untuk kpentingan klompok kalian......
Kita masyarakat ..muak  dg hal remih temih seperti ini ..
Cuma di indonesia penelitian sperti ini viral....negara lain sudah neliti mars, tehnologi canggih...di indonesia S2, S3, S4 es campur ...nelitinya cuma hal tak bermanfaat spt ini...mencederai pendidikan...betapa rendahnya...pendidikan indonesia kalo spt ini....hanya menghasilkan..pemain² sirkus, dan para pemain orkestra jalanan yg tak bermutu....
Indonesia mmang aneh.
Tukang ngomel dan caci maki di sebut ilmuan dan imam besar...
Kerdil....sekali pmikiran bsngsa ini, ayolah bangsa indonesia........bangun jangan terbuai dan tertipu dg gelar dan sorban...
S3, S4, S campur.....😂😂😂😂😂😂😂😂😂",2025-05-26T02:32:51Z,0
user_120,"Roy Suryo mirip pasien sakit jiwa, ga ada apa2 tiba2 ketawa ketiwi sendiri",2025-05-26T01:25:01Z,1
user_121,"KENAPA DARI UGM TIDAK ADA YG MAU HADIR !! JADI TANDA TANYA BESAR ???? KERAGUAN RAKYAT MAKIN KOKOH . KLU TIDAK ADA APA APA KNP UGM TIDAK MAU HADIR ! INI KESEMPATAN UNTUK MELURUSKAN .BETUL GTU KAN .
Klu saya melamar kerja terus di suruh memperlihatkan ijazah asli harus ada surat dari pengadilan gtu ???",2025-05-26T00:22:29Z,0
user_122,"Coba seandainya pagi2 ada segerombolan orang yang datang ke rumah kalian, memaki maki kalian dan memaksa kalian menunjukkan ijazah, apa iya kalian dengan mudah menuruti kemauan mereka?
Apa wewenang mereka memaksa maksa dan apa hak kalian untuk menuruti kemauan mereka?
Klau terjadi pada diri saya apa yg di alami oleh bapak Jokowi
Saya sebagai orang madura sebelum ijazah yg keluar ya mungkin clurit dlu yg menemui mereka 😊",2025-05-25T20:51:40Z,0
user_123,Masih ada yang percaya ROY SURYO cs?,2025-05-25T18:46:58Z,0
user_124,Bahaya nih Roy Suryo Pembohong besar dan lebih bahaya dari pki,2025-05-25T18:37:09Z,1
user_125,Roi soryo haros d penjara saya melihat gak suka,2025-05-25T17:41:51Z,0
user_126,",  coba bayangkan sdh dua tahun lebih tdk pernah di tunjukan ijazahnya, publik berhak utk mengetahui karena masalah ini sdh memakan korban dua org, dan lagi oula pak jokowi itu pejabat negara,, kecuali orang yg tdk ada kaitannya dgn jabatan di negara ini maka publik tdk punya wewenang tdk ada hak  utk menabyakan ijazah sembarang org, biarkan ijazahnya palsu selama tdk di salah gunakan utk menjadi pejabat negara,",2025-05-25T17:11:09Z,0
user_127,Persiapkan RS cs dapat hunian dan baju orange gratiss dari negara....Selamat....,2025-05-25T16:33:41Z,0
user_128,"Saya sebagai masyarakat yg bodoh,merasa semakin dibodoh bodohi oleh karna ijazah",2025-05-25T16:25:07Z,0
user_129,berwenang kita lihat asli atau palsu..karna ..anda perna jadi presiden.lo mo nyalonnya gimn,2025-05-25T16:02:54Z,0
user_130,Nanti udah dua periode jadi presiden baru skrg kau koar-koar Roy panci gak jelas???,2025-05-25T15:06:04Z,0
user_131,"Kalian semua tidak ada yang sadar,  
Pernahkah kalian berfikir kalau kegaduhan dan mimpi buruk ini adalah hukuman sosial ( adzab ringan)  bagi si pelaku perusak hukum dan UUD di negri ini?  
Yp,  betul,  ini adalah mimpi buruk di masa pensiun yang harus di terima dan di telan oleh mulyono.",2025-05-25T15:02:39Z,1
